Full Address,Business Name,Years in Business,Phone,City,State,Zip,Population of Zip Code
"5905 Forest Pl Ste 230 Little Rock, AR",Riverstone Wellness Center,14,5017773200,Little Rock,AR,72207,10735.0
"1701 Centerview Dr Ste 123 Little Rock, AR",Andrews Neuropsychology Consulting P,24,5015371388,Little Rock,AR,72211,22836.0
"2024 Arkansas Valley Dr Ste 604 Little Rock, AR","Becky L. Porter, PHD",TBD,5012278555,Little Rock,AR,72212,13400.0
"5 Saint Vincent Cir Little Rock, AR",Jerome G Die PhD,22,5016665242,Little Rock,AR,72205,22275.0
"9501 Baptist Health Dr Little Rock, AR","Dr. Jim L English, MD",TBD,5012279556,Little Rock,AR,72205,22275.0
"613 Jack Stephens Dr Little Rock, AR",Don Reynolds Senior Institute,19,5016866219,Little Rock,AR,72205,22275.0
"305 S Palm St Little Rock, AR","Lindsey Ann Wilbanks, MD",TBD,5016869000,Little Rock,AR,72205,22275.0
"2002 S Fillmore St Little Rock, AR",Methodist Family Health,127,5016610720,Little Rock,AR,72204,31219.0
"2 Van Circle Suites 2 Little Rock, AR",The Finding Place Counseling & Recovery,TBD,5012631576,Little Rock,AR,72207,10735.0
"650 S Shackleford Rd Ste 314 Little Rock, AR","Linda Dyer Hartsfield, EDD",TBD,5012219168,Little Rock,AR,72211,22836.0
"10618 Breckenridge Dr Little Rock, AR",ACCESS,31,5012178600,Little Rock,AR,72211,22836.0
"4 Shackleford Plz Little Rock, AR","Michelle S. Coleman, LPC, PLLC",13,5015887800,Little Rock,AR,72211,22836.0
"1443 S Robertson Blvd Los Angeles, CA",Alcott Center for Mental Health Services,TBD,3105535059,Los Angeles,CA,90035,27851.0
"1433 S Robertson Blvd Los Angeles, CA",Alcott Center Mental Health Service,47,3107852121,Los Angeles,CA,90035,27851.0
"2370 S Robertson Blvd Los Angeles, CA",NuView Treatment Center - Expert Rehab & Mental Health Services in Los Angeles,8,3233077997,Los Angeles,CA,90034,55120.0
"527 Crocker St Los Angeles, CA",The Village Mental Health Services,TBD,3104504050,Los Angeles,CA,90013,14891.0
"916 Stanford Ave Los Angeles, CA",Los Angeles Mental Health Services,TBD,8184759742,Los Angeles,CA,90021,3152.0
"1849 Sawtelle Blvd Los Angeles, CA",Strive Mental Health Services P,TBD,8575296948,Los Angeles,CA,90025,45238.0
"5015 W Pico Blvd Los Angeles, CA",Hollywood Medical & Mental Health Services,78,3236531677,Los Angeles,CA,90019,59288.0
"849 E 6th St Los Angeles, CA",Para Los Ninos Mental Health Clinical Services,1,2136238446,Los Angeles,CA,90021,3152.0
"441 Bauchet St Los Angeles, CA",Jail Mental Health Service,TBD,2139749083,Los Angeles,CA,90012,37463.0
"947 Cole Ave Los Angeles, CA",Hollywood Mental Health Center-Full Service Partnership Prog,TBD,3238714600,Los Angeles,CA,90038,27807.0
"10501 S Western Ave Los Angeles, CA",Blessed Wellness Mental Health Nursing Services Inc,TBD,3102590549,Los Angeles,CA,90047,50925.0
"3255 Wilshire Blvd Ste 902 Los Angeles, CA",Mental Health Advocacy Services,46,2133892077,Los Angeles,CA,90010,4478.0
"2523 W 7th St Los Angeles, CA",East La Mental Health Service,11,2134801557,Los Angeles,CA,90057,45548.0
"1224 Vine St Los Angeles, CA",Hiv Mental Health Service,TBD,3237696185,Los Angeles,CA,90038,27807.0
"1436 Goodrich Blvd Commerce, CA",East Los Angeles Mental Health Services,28,3237251337,Commerce,CA,90022,61638.0
"3751 Stocker St View Park, CA",West Central Family Mental Health Services,78,3232983680,View Park,CA,90008,33443.0
"3701 Stocker St View Park, CA",Eggleston Mental Health Services,TBD,3232999554,View Park,CA,90008,33443.0
"801 N Brand Blvd Glendale, CA",Mental Health Advocacy Service Inc,TBD,2133892077,Glendale,CA,91203,16482.0
"1540 E Colorado St Glendale, CA",Didi Hirsch Mental Health Services,TBD,8182447257,Glendale,CA,91205,34890.0
"6423 Florence Pl Bell Gardens, CA",East Los Angeles Mental Health Services - CLOSED,TBD,5628065000,Bell Gardens,CA,90201,93783.0
"1233 S La Cienega Blvd Los Angeles, CA",Didi Hirsch Community Mental Health Centers,84,3108550031,Los Angeles,CA,90035,27851.0
"11080 W Olympic Blvd Los Angeles, CA",Edelman Westside Mental Health Center,24,3109666500,Los Angeles,CA,90064,26494.0
"1940 Century Park E Los Angeles, CA",Resilience Treatment Center For Mental Health,TBD,8006939100,Los Angeles,CA,90067,3165.0
"11101 W Olympic Blvd # 300 Los Angeles, CA",Visions Mental Health & Wellness Center,TBD,8188893665,Los Angeles,CA,90064,26494.0
"450 Bauchet St Los Angeles, CA",Mental Health Justice Systems,TBD,2138935377,Los Angeles,CA,90012,37463.0
"1336 Wilshire Blvd Los Angeles, CA",Mental Health Association,TBD,2134131130,Los Angeles,CA,90017,28981.0
"216 S Lake St Los Angeles, CA",Gateways Hospital Mental Health,TBD,2134133321,Los Angeles,CA,90057,45548.0
"1520 San Pablo St Los Angeles, CA",Los Angeles County Department of Mental Health,TBD,3234426000,Los Angeles,CA,90033,46540.0
"4455 E 12th Ave Denver, CO",WellPower Mental Health Services - Recovery Center,TBD,3035047700,Denver,CO,80220,36311.0
"3401 Eudora St Denver, CO",WellPower Mental Health Services - Dahlia Campus for Health & Well-Being,TBD,3033006333,Denver,CO,80207,22382.0
"4141 E Dickenson Pl Denver, CO",WellPower Mental Health Services - Emerson St. for Teens & Young Adults,TBD,3035043988,Denver,CO,80222,23298.0
"1500 N Grant St Denver, CO",Wayfinding Mental Health Services,TBD,7207845025,Denver,CO,80203,22355.0
"1633 Fillmore St Denver, CO",White Hart Psychiatric & Mental Health Services,TBD,7202881079,Denver,CO,80206,24555.0
"311 S Clarkson St Denver, CO",St Anthony Regional Mental Health Services,TBD,8005626060,Denver,CO,80209,26794.0
"3824 W Princeton Cir Denver, CO",Colorado State Government Human Services Dept of Programs and Services Mental Health Services Admin,20,3038667400,Denver,CO,80236,17207.0
"3520 W Oxford Ave Denver, CO",Colorado State of-- Human Services Dept of-- Programs and Services-- Colorado Mental Health Institute At Fort Logan-- Hospital Information,64,3038667066,Denver,CO,80236,17207.0
"300 S Jackson St Denver, CO",Relief Mental Health Clinical Services of Colorado P,TBD,6309746602,Denver,CO,80209,26794.0
"1427 S Federal Blvd Denver, CO",Revive Health & Recovery Mental Health & Addiction Services,TBD,3032684655,Denver,CO,80219,60095.0
"18601 Green Valley Ranch Blvd Denver, CO",Holistic & Compassionate Care Mental Health Service,TBD,7202292748,Denver,CO,80249,41209.0
"655 N Broadway Denver, CO",Forensic Mental Health Service,TBD,3036231335,Denver,CO,80203,22355.0
"8805 W 14th Ave Ste 250 Lakewood, CO",Colorado Mental Health Services,TBD,7207281842,Lakewood,CO,80215,19684.0
"3696 S Depew St Lakewood, CO",Defiantly Hopeful Mental Health & Wellness Services,TBD,5742019020,Lakewood,CO,80235,8374.0
"3095 Wilson Ct Denver, CO",Reiff Mental Health,TBD,3038035726,Denver,CO,80205,33856.0
"1325 S Colorado Blvd Ste B705-7 Denver, CO",Alis Behavioral Health: Mental Health Treatment In Colorado,TBD,8885283860,Denver,CO,80222,23298.0
"1355 S Colorado Blvd Denver, CO",Aspen Leaf Holistic Mental Health,TBD,3032236326,Denver,CO,80222,23298.0
"9025 E Kenyon Ave Denver, CO",At Your Convenience Mental Health and Relationship Counseling of Denver,TBD,7202660489,Denver,CO,80237,22764.0
"1120 N Lincoln St Ste 1606 Denver, CO",Mental Health America Colorado,73,7202082220,Denver,CO,80203,22355.0
"1905 N Sherman St Denver, CO",Out West Mental Health,TBD,3034196567,Denver,CO,80203,22355.0
"1557 N Ogden St Denver, CO",Trilogy Holisic Mental Health,TBD,7203796397,Denver,CO,80218,19364.0
"500 Vine St Hartford, CT",Connecticut State of-- Mental Health and Addiction Services Dept of-- Cedarcrest Regional Hospital-- Russell Rd Newington-- Blue Hills Substance Abuse & Treatment Center - CLOSED,TBD,8602936400,Hartford,CT,06112,21918.0
"32 Oxford Dr Newington, CT",Sunrise Mental Health Services,TBD,8602013710,Newington,CT,06111,30551.0
"701 Cottage Grove Rd Bloomfield, CT",Reset & Restart Mental Health & Wellness Services,TBD,8607067592,Bloomfield,CT,06002,21547.0
"106 Farmington Ave New Britain, CT",A Better You Outpatient Mental Health Services,TBD,8605154906,New Britain,CT,06053,35697.0
"410 Capitol Ave Hartford, CT","Mental Health & Addiction Services, Connecticut Dept",TBD,8604187000,Hartford,CT,06106,37809.0
"245 Hamilton St Hartford, CT",South Bay Mental Health,9,8609517729,Hartford,CT,06106,37809.0
"151 New Park Ave Hartford, CT",North Central Regional Mental Health,TBD,8606676207,Hartford,CT,06106,37809.0
"2550 Main St Hartford, CT",Hartford Community Mental Health Center Inc,TBD,8605480101,Hartford,CT,06120,13832.0
"46 Coventry St Hartford, CT",Intercommunity Mental Health G,TBD,8602164996,Hartford,CT,06112,21918.0
"664 Prospect Ave Hartford, CT",Hartford Mental Health Group,39,8602368087,Hartford,CT,06105,18660.0
"10 Steele Blvd Berlin, CT",Thiel Mental Health Services,TBD,8604075375,Berlin,CT,06037,18754.0
"1 Macdonough Pl Middletown, CT",The Beit Paley Center for Mental Health Services,TBD,8603588825,Middletown,CT,06457,46690.0
"55 W Main St Waterbury, CT",Mental Health & Addiction Service,TBD,2038056400,Waterbury,CT,06702,3117.0
"660 Winchester Ave New Haven, CT",Dixwell Newhallville Community Mental Health Services,TBD,2037768390,New Haven,CT,06511,54744.0
"96 Quaker Ln S West Hartford, CT",Mental Health Association of Ct,20,8602320818,West Hartford,CT,06119,15011.0
"61 S Main St Ste 100 West Hartford, CT",Mental Health Connecticut,118,8605291970,West Hartford,CT,06107,20423.0
"281 Main St East Hartford, CT",InterCommunity Mental Health,45,8605695907,East Hartford,CT,06118,26771.0
"893 Main St East Hartford, CT",Inter Comminity Mental Health,TBD,8602919249,East Hartford,CT,06108,24027.0
"101 South St West Hartford, CT",South Bay Mental Health Center,TBD,8605781300,West Hartford,CT,06110,12307.0
"309 N Main St West Hartford, CT",Tallawah Mental Health Assoc,TBD,8602064924,West Hartford,CT,06117,15863.0
"20 Beaver Rd Wethersfield, CT",Mental Health Association of Ct Inc,TBD,8605291970,Wethersfield,CT,06109,27180.0
"367 Russell Rd Newington, CT",North Central Regional Mental Health Board Inc,51,8606676388,Newington,CT,06111,30551.0
"1521 Concord Pike Wilmington, DE",Sound Mind Mental Health Services,TBD,3024671490,Wilmington,DE,19803,21971.0
"19805 Churchmans Road Ext New Castle, DE",Child Mental Health Service,TBD,3026335128,New Castle,DE,19720,60593.0
"100 W 10th St Wilmington, DE",Mental Health Association In Delaware,TBD,3026546833,Wilmington,DE,19801,16170.0
"1601 Concord Pike Ste 92-100 Wilmington, DE",Partners In Mental Health,27,3025735112,Wilmington,DE,19803,21971.0
"1423 Capitol Trl Newark, DE",Alert Mind Mental Health Services,TBD,3027224740,Newark,DE,19711,49113.0
"24 E 10th St Marcus Hook, PA",Reheal Mental Health and Addiction Services,TBD,8352269846,Marcus Hook,PA,19061,20135.0
"198 Sunset Rd Newark, DE",Newark Mental Health Services,TBD,3022046154,Newark,DE,19711,49113.0
"111 Elwyn Rd Media, PA",Family Based Mental Health Services,TBD,6108912000,Media,PA,19063,38206.0
"215 Morton Ave Folsom, PA",Mental Health Billing Services,TBD,4844940586,Folsom,PA,19033,7614.0
"1260 E Woodland Ave Springfield, PA",Integrated Mental Health Services,TBD,6103282700,Springfield,PA,19064,25137.0
"320 Macdade Blvd Collingdale, PA",Aviva Mental Health Services Inc,TBD,6105224506,Collingdale,PA,19023,22636.0
"1120 W Township Line Rd Havertown, PA",Dtap Mental Health Services,TBD,2677845118,Havertown,PA,19083,37220.0
"19 S Macdade Blvd Darby, PA",Aviva Mental Health Services,TBD,4844940437,Darby,PA,19023,22636.0
"18 Campus Blvd Newtown Square, PA",Julie Mental Health Services,TBD,2672763680,Newtown Square,PA,19073,21587.0
"470 Boot Rd Downingtown, PA",Cameron Mental Health Therapy & Supportive Services,TBD,7175755902,Downingtown,PA,19335,52524.0
"3715 Garrett Rd Drexel Hill, PA",Focliva Mental Health Services PC,TBD,2677563212,Drexel Hill,PA,19026,32749.0
"102 E Cecil Ave North East, MD",Ash & Ember Mental Health Services,TBD,4434850522,North East,MD,21901,19585.0
"2152 N Front St Philadelphia, PA",North East Community Mental Health Service,TBD,2152910862,Philadelphia,PA,19122,24740.0
"229 N Main St Smyrna, DE",Grace Center Mental Health Services,TBD,3025665537,Smyrna,DE,19977,27164.0
"4641 Roosevelt Blvd Suite 317 Philadelphia, PA",Geriatric Mental Health Services LLC,TBD,2674618928,Philadelphia,PA,19124,70763.0
"4641 E Roosevelt Blvd Philadelphia, PA",NE Community Mental Health Ctr-Outpatient Services,68,2158311014,Philadelphia,PA,19124,70763.0
"636 Broad St Perryville, MD",Blueprint Mental Health Services,TBD,4432318865,Perryville,MD,21903,5679.0
"122 Delaware St Historic New Castle, DE",Radiant Path Mental Health,TBD,3025846960,Historic New Castle,DE,19720,60593.0
"3301 Green St Claymont, DE",Safe Retreat Mental Health,TBD,3027657068,Claymont,DE,19703,15936.0
"668 Yorklyn Rd Fl 1 Hockessin, DE",Brandywine Center For Mental Health,TBD,3022004010,Hockessin,DE,19707,17366.0
"575 S Dupont Hwy New Castle, DE",Phoenix Mental Health,27,3023249393,New Castle,DE,19720,60593.0
"231 NW 99th St Miami, FL",Mental Health Services Inc,TBD,7863601241,Miami,FL,33150,31936.0
"1839 Delaware Pkwy Miami, FL",Miami Mental Health Services,TBD,2054657653,Miami,FL,33125,55449.0
"1951 NW 7th Ave Miami, FL",911 Mental Health Services,TBD,3053899509,Miami,FL,33136,16611.0
"5080 NW 74th Ave Miami, FL",Mis Mental Health Services Corp,TBD,3055624396,Miami,FL,33166,26925.0
"10515 SW 40th St Miami, FL",Miami Mental Health Services Corp,TBD,7862712529,Miami,FL,33165,50471.0
"8600 SW 92nd St Ste 104 Miami, FL",1st Community Support Mental Health Services Corp,12,7862860190,Miami,FL,33156,32708.0
"10300 SW 72nd St Miami, FL",Motivating Lives Mental Health Services,TBD,7862035379,Miami,FL,33173,32042.0
"10637 N Kendall Dr Miami, FL",Gil Mental Health Services Inc,TBD,7864450450,Miami,FL,33176,52190.0
"9000 SW 137th Ave Miami, FL",Marcera Mental Health Services,TBD,7865157106,Miami,FL,33186,67597.0
"16201 SW 95th Ave #303 Miami, FL",Face To Face Mental Health Services,2,3059645824,Miami,FL,33157,69605.0
"12700 SW 128th St Miami, FL",La Luz Mental Health Services Inc,TBD,7867320865,Miami,FL,33186,67597.0
"11272 SW 137th Ave Miami, FL",General Mental Health Services,TBD,7867924928,Miami,FL,33186,67597.0
"12485 SW 137th Ave Miami, FL",Mindset Mental Health Services Inc,TBD,7865922748,Miami,FL,33186,67597.0
"10631 N Kendall Dr Miami, FL","Hope Mental Health Services, Corp",TBD,7869724547,Miami,FL,33176,52190.0
"8825 SW 40th St Miami, FL",Alasake Mental Health Service,15,7864017579,Miami,FL,33165,50471.0
"790 NW 107th Ave Miami, FL",New Life Mental Health Service Inc,TBD,7867129693,Miami,FL,33172,39465.0
"648 NW 183rd St Miami, FL",Monarch Mental Health Service,TBD,9549735533,Miami,FL,33169,42308.0
"8858B SW 129th Ter Miami, FL",Compass Mental Health Service Inc,TBD,7867990960,Miami,FL,33176,52190.0
"7001 SW 97th Ave Miami, FL",Mental Health & Addictions Services Corp,TBD,7863807171,Miami,FL,33173,32042.0
"306 Westward Dr Miami Springs, FL",Vida Mental Health Services Inc,TBD,7864202151,Miami Springs,FL,33166,26925.0
"1350 SW 57th Ave West Miami, FL",Odyssey Community Mental Health Services,TBD,7862167544,West Miami,FL,33144,26288.0
"3901 NW 79th Ave Doral, FL",Peace of Mind Mental Health Services Corp,TBD,7867034154,Doral,FL,33166,26925.0
"8200 NW 33rd St Doral, FL",Citrus Health Network-Psychiatry & Mental Health Services For Adults & Children,TBD,3058250300,Doral,FL,33122,1988.0
"7550 SW 57th Ave South Miami, FL",Mental Health Services of Florida,TBD,3056678114,South Miami,FL,33143,32167.0
"1533 Sunset Dr Coral Gables, FL",Family Mental Health Services of South Florida,TBD,7862521665,Coral Gables,FL,33143,32167.0
"15501 NE 6th Ave Miami, FL",Bayview Center-Mental Health,TBD,3059402238,Miami,FL,33162,46578.0
"1801 Coral Way Miami, FL",Odeley Mental Health,12,7864017792,Miami,FL,33145,29454.0
"9835 SW 72nd St Ste 105 Miami, FL",Miami Mental Health & Wellness,2,7869379835,Miami,FL,33173,32042.0
"730 Peachtree St NE Atlanta, GA",Jeanes Mental Health Services,TBD,6788057181,Atlanta,GA,30308,23329.0
"100 Peachtree St NW Ste 200 Atlanta, GA",Atlanta Mental Health Services,TBD,4707614145,Atlanta,GA,30303,6474.0
"1445 Woodmont Ln NW Atlanta, GA",A Beautiful Mind Mental Health Services,TBD,2293642375,Atlanta,GA,30318,58651.0
"1755 The Exchange SE Atlanta, GA",Iaap Mental Health Services,TBD,4047897313,Atlanta,GA,30339,34872.0
"3103 Clairmont Rd NE Atlanta, GA",Mental Health Comprehensive Services,19,6783021945,Atlanta,GA,30329,27022.0
"2221 Peachtree Rd NE Atlanta, GA",The Psych Consultant Comprehensive Mental Health SVC,TBD,6788004992,Atlanta,GA,30309,30413.0
"115 Martin Luther King Jr Dr SW Ste 200 Atlanta, GA",Fulton County Government Mental Health Developmental Disabilities and Addictive Diseases Dept,5,4046131205,Atlanta,GA,30303,6474.0
"265 Boulevard NE Atlanta, GA",Fulton County Government Mental Health-Developmental Disabilities and Addictive Diseases Dept,5,4046131650,Atlanta,GA,30312,27147.0
"675 Seminole Ave NE Atlanta, GA",Ubuntu Mental Health,15,4042490520,Atlanta,GA,30307,21680.0
"1230 Peachtree St NE Atlanta, GA",Luce Mental Health Therapist,TBD,7708105764,Atlanta,GA,30309,30413.0
"23 Warren St SE Atlanta, GA",Kirkwood Mental Health,TBD,4043707474,Atlanta,GA,30317,14798.0
"2799 Metropolitan Pkwy SW Atlanta, GA",Fulton County Government Community Mental Health Centers,19,4046124111,Atlanta,GA,30315,35221.0
"475 Fairburn Rd SW Atlanta, GA",West Mental Health Center,TBD,4046919627,Atlanta,GA,30331,63418.0
"1903 Phoenix Blvd Atlanta, GA",Access Mental Health Agency,17,6783359010,Atlanta,GA,30349,78597.0
"5825 Glenridge Dr Atlanta, GA",Northside Mental Health Center,TBD,4048516294,Atlanta,GA,30328,38821.0
"6385 Old National Hwy Atlanta, GA",Mental Health on Purpose,TBD,2672106590,Atlanta,GA,30349,78597.0
"303 Perimeter Ctr N Atlanta, GA",Access Mental Health,TBD,6786908467,Atlanta,GA,30346,4935.0
"8735 Dunwoody Pl Atlanta, GA",Canopy Oaks Mental Health,TBD,6784395144,Atlanta,GA,30350,35809.0
"5605 Glenridge Dr Atlanta, GA",Glenridge Mental Health Associates,TBD,4042570299,Atlanta,GA,30342,33774.0
"100 Edgewood Ave NE Ste 502 Atlanta, GA",National Mental Health Assoc of Ga,117,8009339896,Atlanta,GA,30303,6474.0
"5555 Glenridge Connector Sandy Springs, GA",Full Steam Ahead Mental Health Services,TBD,4705895858,Sandy Springs,GA,30342,33774.0
"54 Nellie Brook Dr SW Mableton, GA",Compassionate Mental Health & Counseling Support SVC,TBD,4049840915,Mableton,GA,30126,43047.0
"576 S King St Honolulu, HI",Honolulu Mental Health Services,TBD,8083748285,Honolulu,HI,96813,26059.0
"615 Piikoi St Honolulu, HI","Drug, Alcohol, Mental Health Counseling-Evaluation Services",TBD,8082955319,Honolulu,HI,96814,23739.0
"1136 Union Mall Honolulu, HI",Mental Health Association in Hawaii,58,8085211846,Honolulu,HI,96813,26059.0
"41 S Beretania St Honolulu, HI",Mental Health Kokua,TBD,8082045691,Honolulu,HI,96813,26059.0
"1876 Ala Mahamoe St Honolulu, HI",North Shore Mental Health,TBD,8087232805,Honolulu,HI,96819,51961.0
"3627 Kilauea Ave Honolulu, HI",Dept of Health-Hawaii-Child & Adolescent Mental,TBD,8087339333,Honolulu,HI,96816,50711.0
"45-211 Nohonani Pl Kaneohe, HI",North American Mental Health Services,TBD,8082362780,Kaneohe,HI,96744,56245.0
"87-350 Kulawae St Waianae, HI",Wai'anae Coast Community Mental Health,TBD,8086680738,Waianae,HI,96792,49879.0
"56-117 Pualalea St Kahuku, HI",Northshore Mental Health,TBD,8086388700,Kahuku,HI,96731,2827.0
"706 Kaimalino St Kailua, HI",Halevi Nancy PsyD,17,8082728752,Kailua,HI,96734,50985.0
"45-270 William Henry Rd Kaneohe, HI",Mental Fitness Hi,TBD,8082014208,Kaneohe,HI,96744,56245.0
"407 Uluniu St Kailua, HI",Aligned Center For Mental & Physical Performance,TBD,8087807603,Kailua,HI,96734,50985.0
"7235 W Emerald St Boise, ID",Omega Mental Health Services Emerald,TBD,2083857000,Boise,ID,83704,41406.0
"1111 S Orchard St Ste 290 Boise, ID",R H Mental Health Services PLLC,14,2083432770,Boise,ID,83705,27542.0
"7275 W Potomac Dr Boise, ID","Facing Future Mental Health Services, Dr. Martin ""Mike"" Cutler",TBD,2089941223,Boise,ID,83704,41406.0
"3288 E. Pine Ave Meridian, ID",InRoads Mental Health Services,21,2088888887,Meridian,ID,83642,58049.0
"8050 W Rifleman St Ste 100 Boise, ID",All Seasons Mental Health,30,2083210634,Boise,ID,83704,41406.0
"3152 S Bown Way Boise, ID",Hope Mental Health,TBD,2088755002,Boise,ID,83706,36183.0
"5185 W Overland Rd Boise, ID",Safe Harbor Mental Health Boise,TBD,2089858550,Boise,ID,83705,27542.0
"3060 S Rookery Ln Boise, ID",Mental Health Solutions,TBD,2083718040,Boise,ID,83706,36183.0
"7950 W King St Boise, ID",Aspen Mental Health,TBD,2083422950,Boise,ID,83704,41406.0
"9488 W Fairview Ave Boise, ID",Pride Mental Health,8,2083222928,Boise,ID,83704,41406.0
"6550 W Emerald St Ste 108 Boise, ID",About Balance Mental Health,TBD,2083426300,Boise,ID,83704,41406.0
"5460 W Franklin Rd Ste B Boise, ID",Network Homes Mental Health Corp. - CLOSED,16,2083442197,Boise,ID,83705,27542.0
"11104 W State St Star, ID",Allied Mental Health Service PLLC,TBD,2082867967,Star,ID,83669,15728.0
"1224 1st St S Ste 306 Nampa, ID","R H Mental Health Services, PLLC",TBD,2084428053,Nampa,ID,83651,36997.0
"923 16th Ave S Nampa, ID",Renewal Mental Health Services,TBD,2089658788,Nampa,ID,83651,36997.0
"3288 E Pine Ave Meridian, ID",Journey Mental Health,18,2088888886,Meridian,ID,83642,58049.0
"82 S Baltic Pl Meridian, ID",Succeed Mental Health & Wellness,TBD,2084693039,Meridian,ID,83642,58049.0
"1901 N Lakes Pl Meridian, ID",Morgan Mental Health Group,TBD,2086294612,Meridian,ID,83646,74522.0
"4405 E Flamingo Ave Nampa, ID",Journey  Mental Health,18,2088994042,Nampa,ID,83687,40299.0
